RoundNum_ByDate,Sample_ID,Site,Rep,Crucible_ID,In-oven ,Out-Oven ,"Empty Heated 
Crucible_Weight",In-oven,Out-oven,"SampleStart 
Crucible_Weight",In-Furnace ,Out-Furnace ,In-oven,Out-oven,"SampleEnd
Crucible_Weight",LOI_g,SOM_Percent,Mean_Blank_LOI-g,Adjusted_LOI,Adjusted_SOM_Percent,Comments
10_Dec14,S_DCH_P5,DC,1,26,12/14/23 7:30,12/14/23 9:40,9.3452,12/14/23 10:50,12/14/23 13:00,11.5413,12/14/23 13:45,12/15/23 7:30,12/15/23 7:40,12/15/23 9:40,11.4059,0.1354,6.17,-0.0003,0.1351,6.15181458,
3_Nov17,S_DCH_P6,DC,1,69,11/17/23 8:26,11/17/23 10:26,8.9135,11/17/23 11:30,11/17/23 13:30,9.7483,11/17/23 14:22,11/18/23 8:00,11/18/23 8:28,11/18/23 11:40,9.6974,0.0509,6.1,0.00005,0.05095,6.103258265,
3_Nov17,S_DCH_P6,DC,2,77,11/17/23 8:26,11/17/23 10:26,12.2022,11/17/23 11:30,11/17/23 13:30,12.826,11/17/23 14:22,11/18/23 8:00,11/18/23 8:28,11/18/23 11:40,12.7898,0.0362,5.8,0.00005,0.03625,5.811157422,
3_Nov17,S_DCH_P7,DC,1,124,11/17/23 8:26,11/17/23 10:26,10.0065,11/17/23 11:30,11/17/23 13:30,11.0078,11/17/23 14:22,11/18/23 8:00,11/18/23 8:28,11/18/23 11:40,10.9224,0.0854,8.53,0.00005,0.08545,8.533905922,
3_Nov17,S_DCH_P7,DC,2,102,11/17/23 8:26,11/17/23 10:26,11.4471,11/17/23 11:30,11/17/23 13:30,12.1536,11/17/23 14:22,11/18/23 8:00,11/18/23 8:28,11/18/23 11:40,12.097,0.0566,8.01,0.00005,0.05665,8.018400566,
5_Nov23,S_DCH_P8,DC,1,16,11/23/23 8:30,11/23/23 10:30,12.1895,11/23/23 12:00,11/23/23 14:00,13.2703,11/23/23 15:00,11/24/23 8:00,11/24/23 8:10,11/24/23 12:00,13.1892,0.0811,7.5,0.00125,0.08235,7.619356033,
5_Nov23,S_DCH_P8,DC,2,90,11/23/23 8:30,11/23/23 10:30,9.4497,11/23/23 12:00,11/23/23 14:00,10.581,11/23/23 15:00,11/24/23 8:00,11/24/23 8:10,11/24/23 12:00,10.4972,0.0838,7.41,0.00125,0.08505,7.517899761,
5_Nov23,S_DCH_V1,DC,2,46,11/23/23 8:30,11/23/23 10:30,10.6599,11/23/23 12:00,11/23/23 14:00,11.5472,11/23/23 15:00,11/24/23 8:00,11/24/23 8:10,11/24/23 12:00,11.4746,0.0726,8.18,0.00125,0.07385,8.323002367,
5_Nov23,S_DCH_V1,DC,1,125,11/23/23 8:30,11/23/23 10:30,9.1483,11/23/23 12:00,11/23/23 14:00,10.0933,11/23/23 15:00,11/24/23 8:00,11/24/23 8:10,11/24/23 12:00,10.0166,0.0767,8.12,0.00125,0.07795,8.248677249,
6_Nov29,S_DCH_V2,DC,2,63,11/29/23 8:00,11/29/23 10:00,10.5891,11/29/23 11:30,11/29/23 1:30,11.2567,11/29/23 14:30,11/30/23 8:00,11/30/23 8:30,11/30/23 10:30,11.2175,0.0392,5.87,0.00045,0.03965,5.939185141,
6_Nov29,S_DCH_V2,DC,1,47,11/29/23 8:00,11/29/23 10:00,10.6224,11/29/23 11:30,11/29/23 1:30,11.3676,11/29/23 14:30,11/30/23 8:00,11/30/23 8:30,11/30/23 10:30,11.3243,0.0433,5.81,0.00045,0.04375,5.870907139,
10_Dec14,S_DCH_V3,DC,1,107,12/14/23 7:30,12/14/23 9:40,9.8367,12/14/23 10:50,12/14/23 13:00,11.4966,12/14/23 13:45,12/15/23 7:30,12/15/23 7:40,12/15/23 9:40,11.3334,0.1632,9.83,-0.0003,0.1629,9.813844207,
10_Dec14,S_DCH_V3,DC,2,53,12/14/23 7:30,12/14/23 9:40,10.5905,12/14/23 10:50,12/14/23 13:00,12.1724,12/14/23 13:45,12/15/23 7:30,12/15/23 7:40,12/15/23 9:40,12.0264,0.146,9.23,-0.0003,0.1457,9.210443138,
9_Dec6,S_DCH_V4,DC,1,23,12/6/23 8:00,12/6/23 10:00,9.1826,12/6/23 11:30,12/6/23 13:30,10.7949,12/6/23 14:15,12/7/23 7:45,12/7/23 8:00,12/7/23 10:00,10.6557,0.1392,8.63,0.0002,0.1394,8.646033617,
9_Dec6,S_DCH_V4,DC,2,1,12/6/23 8:00,12/6/23 10:00,11.0717,12/6/23 11:30,12/6/23 13:30,12.4024,12/6/23 14:15,12/7/23 7:45,12/7/23 8:00,12/7/23 10:00,12.2931,0.1093,8.21,0.0002,0.1095,8.228751785,
5_Nov23,S_DCH_V5,DC,2,43,11/23/23 8:30,11/23/23 10:30,10.7373,11/23/23 12:00,11/23/23 14:00,11.7503,11/23/23 15:00,11/24/23 8:00,11/24/23 8:10,11/24/23 12:00,11.6769,0.0734,7.25,0.00125,0.07465,7.369200395,
5_Nov23,S_DCH_V5,DC,1,42,11/23/23 8:30,11/23/23 10:30,12.0176,11/23/23 12:00,11/23/23 14:00,12.9826,11/23/23 15:00,11/24/23 8:00,11/24/23 8:10,11/24/23 12:00,12.9153,0.0673,6.97,0.00125,0.06855,7.103626943,
10_Dec14,S_DCH_V6,DC,2,32,12/14/23 7:30,12/14/23 9:40,11.7772,12/14/23 10:50,12/14/23 13:00,14.5354,12/14/23 13:45,12/15/23 7:30,12/15/23 7:40,12/15/23 9:40,14.3264,0.209,7.58,-0.0003,0.2087,7.566528896,
10_Dec14,S_DCH_V6,DC,1,50,12/14/23 7:30,12/14/23 9:40,9.1261,12/14/23 10:50,12/14/23 13:00,10.7569,12/14/23 13:45,12/15/23 7:30,12/15/23 7:40,12/15/23 9:40,10.6361,0.1208,7.41,-0.0003,0.1205,7.389011528,
10_Dec14,S_DCH_V7,DC,2,57,12/14/23 7:30,12/14/23 9:40,10.6022,12/14/23 10:50,12/14/23 13:00,12.619,12/14/23 13:45,12/15/23 7:30,12/15/23 7:40,12/15/23 9:40,12.466,0.153,7.59,-0.0003,0.1527,7.571400238,
10_Dec14,S_DCH_V7,DC,1,92,12/14/23 7:30,12/14/23 9:40,9.0327,12/14/23 10:50,12/14/23 13:00,11.0771,12/14/23 13:45,12/15/23 7:30,12/15/23 7:40,12/15/23 9:40,10.928,0.1491,7.29,-0.0003,0.1488,7.278419096,
3_Nov17,S_DCH_V8,DC,2,79,11/17/23 8:26,11/17/23 10:26,9.1349,11/17/23 11:30,11/17/23 13:30,9.8724,11/17/23 14:22,11/18/23 8:00,11/18/23 8:28,11/18/23 11:40,9.8227,0.0497,6.74,0.00005,0.04975,6.745762712,
3_Nov17,S_DCH_V8,DC,1,121,11/17/23 8:26,11/17/23 10:26,11.8038,11/17/23 11:30,11/17/23 13:30,12.5831,11/17/23 14:22,11/18/23 8:00,11/18/23 8:28,11/18/23 11:40,12.5307,0.0524,6.72,0.00005,0.05245,6.730399076,
3_Nov17,S_DCN_H1,UP,2,98,11/17/23 8:26,11/17/23 10:26,11.8996,11/17/23 11:30,11/17/23 13:30,13.4206,11/17/23 14:22,11/18/23 8:00,11/18/23 8:28,11/18/23 11:40,13.3288,0.0918,6.04,0.00005,0.09185,6.03879027,
3_Nov17,S_DCN_H1,UP,1,107,11/17/23 8:26,11/17/23 10:26,9.8366,11/17/23 11:30,11/17/23 13:30,11.2791,11/17/23 14:22,11/18/23 8:00,11/18/23 8:28,11/18/23 11:40,11.1929,0.0862,5.98,0.00005,0.08625,5.979202773,
3_Nov17,S_DCN_H2,UP,2,109,11/17/23 8:26,11/17/23 10:26,12.5957,11/17/23 11:30,11/17/23 13:30,13.7826,11/17/23 14:22,11/18/23 8:00,11/18/23 8:28,11/18/23 11:40,13.7127,0.0699,5.89,0.00005,0.06995,5.893504086,
3_Nov17,S_DCN_H2,UP,1,120,11/17/23 8:26,11/17/23 10:26,10.1024,11/17/23 11:30,11/17/23 13:30,11.3034,11/17/23 14:22,11/18/23 8:00,11/18/23 8:28,11/18/23 11:40,11.2333,0.0701,5.84,0.00005,0.07015,5.840965862,
4_Nov22,S_DCN_H3,UP,2,77,11/22/23 8:25,11/22/23 10:30,12.2021,11/22/23 12:13,11/22/23 14:13,13.4457,11/22/23 15:30,11/23/23 8:00,11/23/23 8:30,11/23/23 10:30,13.3692,0.0765,6.15,0.00125,0.07775,6.252010293,
4_Nov22,S_DCN_H3,UP,1,126,11/22/23 8:25,11/22/23 10:30,12.1145,11/22/23 12:13,11/22/23 14:13,13.7589,11/22/23 15:30,11/23/23 8:00,11/23/23 8:30,11/23/23 10:30,13.6585,0.1004,6.11,0.00125,0.10165,6.181585989,
5_Nov23,S_DCN_H4,UP,2,48,11/23/23 8:30,11/23/23 10:30,11.1462,11/23/23 12:00,11/23/23 14:00,13.456,11/23/23 15:00,11/24/23 8:00,11/24/23 8:10,11/24/23 12:00,13.3317,0.1243,5.38,0.00125,0.12555,5.435535544,
5_Nov23,S_DCN_H4,UP,1,3,11/23/23 8:30,11/23/23 10:30,10.6538,11/23/23 12:00,11/23/23 14:00,12.1713,11/23/23 15:00,11/24/23 8:00,11/24/23 8:10,11/24/23 12:00,12.0909,0.0804,5.3,0.00125,0.08165,5.380560132,
9_Dec6,S_DCN_H5,UP,1,79,12/6/23 8:00,12/6/23 10:00,9.1354,12/6/23 11:30,12/6/23 13:30,10.7897,12/6/23 14:15,12/7/23 7:45,12/7/23 8:00,12/7/23 10:00,10.6733,0.1164,7.04,0.0002,0.1166,7.048298374,
