Cage_ID,Rep,Tray_weight,Wet-Soil+Tray_weight,In-oven,Out-oven,Dry-Soil+Tray_weight,WHC Dry weight (g),% soil moist at 100% WHC,Moist at 100% WHC,Moist at 65% WHC
S_FNH_V2,1,1.1596,3.2911,10/18/24 20:00,11/4/24 8:30,2.8442,1.6846,20.96645555,0.265285528,0.172435593
S_FNH_V2,2,1.1579,4.7225,10/18/24 20:00,11/4/24 8:30,3.4202,2.2623,36.53425349,0.575653096,0.374174513
S_FNH_V3,1,1.1461,4.3495,10/19/24 13:45,10/30/24 14:00,3.0201,1.874,41.49965661,0.709391676,0.461104589
S_FNH_V3,2,1.1399,4.3637,10/19/24 13:45,10/30/24 14:00,3.3682,2.2283,30.87970718,0.44675313,0.290389535
S_FNH_V4,1,1.1653,4.0637,10/18/24 20:00,11/4/24 8:30,3.1908,2.0255,30.11661606,0.43095532,0.280120958
S_FNH_V4,2,1.1422,5.0971,10/18/24 20:00,11/4/24 8:30,3.5491,2.4069,39.14131836,0.643150941,0.418048112
S_FNH_V5,1,1.1363,3.6737,10/18/24 20:00,11/4/24 8:30,2.8071,1.6708,34.15307007,0.518673689,0.337137898
S_FNH_V5,2,1.1589,4.6829,10/18/24 20:00,11/4/24 8:30,3.8205,2.6616,24.47219069,0.32401563,0.210610159
S_FNH_V6,1,1.1526,2.7915,10/18/24 20:00,11/4/24 8:30,2.3626,1.21,26.16999207,0.35446281,0.230400826
S_FNH_V6,2,1.1374,2.7541,10/18/24 20:00,11/4/24 8:30,2.3907,1.2533,22.47788705,0.28995452,0.188470438
S_FNH_V7,1,1.1666,3.6155,10/18/24 20:00,11/4/24 8:30,3.1922,2.0256,17.28531177,0.208975119,0.135833827
S_FNH_V7,2,1.1626,4.1857,10/18/24 20:00,11/4/24 8:30,3.2424,2.0798,31.2030697,0.453553226,0.294809597
S_FNH_V8,1,1.1971,4.0776,10/19/24 13:45,10/30/24 14:00,3.2485,2.0514,28.78319736,0.404163011,0.262705957
S_FNH_V8,2,1.164,3.6015,10/19/24 13:45,10/30/24 14:00,2.5915,1.4275,41.43589744,0.707530648,0.459894921
S_FNN_H1,1,1.1539,4.1242,10/14/24 17:00,10/18/24 19:00,3.1288,1.9749,33.51176649,0.50402552,0.327616588
S_FNN_H1,2,1.1198,5.1644,10/14/24 17:00,10/18/24 19:00,3.7049,2.5851,36.08515057,0.564581641,0.366978067
S_FNN_H2,1,1.1344,5.2112,10/19/24 16:10,11/4/24 9:25,3.5791,2.4447,40.03385008,0.667607477,0.43394486
S_FNN_H2,2,1.1401,4.1121,10/19/24 16:10,11/4/24 9:25,2.9724,1.8323,38.34791386,0.62200513,0.404303335
S_FNN_H3,1,1.1298,4.4976,10/19/24 16:10,11/4/24 9:00,3.2238,2.094,37.8229111,0.608309456,0.395401146
S_FNN_H3,2,1.1449,4.4915,10/19/24 16:10,11/4/24 9:00,3.1778,2.0329,39.25476603,0.646219686,0.420042796
S_FNN_H4,1,1.1593,5.042,10/14/24 17:00,10/18/24 19:00,3.6479,2.4886,35.90542664,0.560194487,0.364126417
S_FNN_H4,2,1.1399,5.5295,10/14/24 17:00,10/18/24 19:00,3.9124,2.7725,36.83934755,0.583264202,0.379121731
S_FNN_H5,1,1.1576,4.4956,10/19/24 16:10,11/4/24 9:20,3.2062,2.0486,38.62792091,0.629405448,0.409113541
S_FNN_H5,2,1.1506,4.9195,10/19/24 16:10,11/4/24 9:00,3.4454,2.2948,39.11220781,0.642365348,0.417537476
S_FNN_H6,1,1.1396,6.2413,10/14/24 17:00,10/18/24 19:00,4.4325,3.2929,35.45484838,0.549303046,0.35704698
S_FNN_H6,2,1.1644,4.3115,10/14/24 17:00,10/18/24 19:00,3.1633,1.9989,36.48438245,0.574415929,0.373370354
S_FNN_H7,1,1.1537,4.7099,10/14/24 17:00,10/18/24 19:00,3.5845,2.4308,31.64613914,0.462975152,0.300933849
S_FNN_H7,2,1.1486,5.9122,10/14/24 17:00,10/18/24 19:00,4.4669,3.3183,30.34049878,0.43555435,0.283110328
S_FNN_H8,1,1.1471,6.2747,10/14/24 17:00,10/18/24 19:00,4.5708,3.4237,33.22997114,0.497677951,0.323490668
S_FNN_H8,2,1.1488,7.1845,10/14/24 17:00,10/18/24 19:00,5.0051,3.8563,36.10848783,0.565153126,0.367349532
S_FNS_H1,1,1.162,2.6843,10/27/24 15:00,10/30/24 18:15,2.2191,1.0571,30.55902253,0.440071895,0.286046732
S_FNS_H1,2,1.1533,2.3229,10/27/24 15:00,10/30/24 18:15,2.0163,0.863,26.21409029,0.355272306,0.230926999
S_FNS_H2,1,1.1711,2.6334,10/27/24 15:00,10/30/24 18:15,2.2479,1.0768,26.3625795,0.358005201,0.23270338
S_FNS_H2,2,1.1632,4.2955,10/27/24 15:00,10/30/24 18:15,3.2824,2.1192,32.34364524,0.478057758,0.310737543
S_FNS_H3,1,1.1501,3.8111,10/27/24 15:00,10/30/24 18:15,3.0574,1.9073,28.32393837,0.395165941,0.256857862
S_FNS_H3,2,1.1662,4.0834,10/27/24 15:00,10/30/24 18:15,3.2769,2.1107,27.64637323,0.382100725,0.248365471
S_FNS_H4,1,1.1647,5.3472,10/19/24 16:10,11/4/24 9:00,4.0451,2.8804,31.13209803,0.45205527,0.293835926
S_FNS_H4,2,1.1569,5.0186,10/19/24 16:10,11/4/24 9:20,3.8485,2.6916,30.30012689,0.434722841,0.282569847
S_FNS_H5,1,1.2113,3.7184,10/28/24 14:45,10/30/24 18:15,2.8965,1.6852,32.78289657,0.487716592,0.317015785
S_FNS_H5,2,0.8291,2.3881,10/28/24 14:45,10/30/24 18:15,1.9559,1.1268,27.72289929,0.383564075,0.249316649
S_FNS_H6,1,1.1682,2.7802,10/27/24 15:00,10/30/24 18:15,2.2132,1.045,35.17369727,0.542583732,0.352679426
S_FNS_H6,2,1.1616,3.9762,10/27/24 15:00,10/30/24 18:15,2.9419,1.7803,36.74767285,0.5809695,0.377630175
S_FNS_H7,1,1.1453,5.1642,10/19/24 16:10,11/4/24 9:00,3.8741,2.7288,32.10082361,0.472771914,0.307301744
S_FNS_H7,2,1.1551,5.9879,10/19/24 16:10,11/4/24 9:15,4.3789,3.2238,33.29332892,0.499100441,0.324415286
S_FNS_H8,1,1.1727,5.3121,10/19/24 16:10,11/4/24 9:00,4.0972,2.9245,29.3496642,0.41542144,0.270023936
S_FNS_H8,2,1.1349,4.1281,10/19/24 16:10,11/4/24 9:00,3.2696,2.1347,28.68167847,0.402164239,0.261406755
S_SCH_H1,1,1.1324,3.4677,10/19/24 13:45,10/30/24 14:00,2.5219,1.3895,40.50014987,0.680676502,0.442439727
S_SCH_H1,2,1.1602,5.0253,10/19/24 13:45,10/30/24 14:00,3.4693,2.3091,40.25769062,0.673855615,0.43800615
S_SCH_H2,1,1.1754,3.5134,10/19/24 13:45,10/30/24 14:00,2.7582,1.5828,32.30111206,0.477129138,0.31013394
S_SCH_H2,2,1.1511,3.8739,10/19/24 13:45,10/30/24 14:00,3.0503,1.8992,30.24827384,0.433656276,0.28187658
S_SCH_H3,1,1.1562,4.4881,10/18/24 15:30,10/20/24 15:15,3.1506,1.9944,40.14226117,0.670627758,0.435908043
S_SCH_H3,2,1.1478,3.5173,10/18/24 15:30,10/20/24 15:15,2.9237,1.7759,25.05169867,0.334253055,0.217264486
S_SCH_H4,1,1.1529,3.6811,10/19/24 13:45,10/30/24 14:00,2.9994,1.8465,26.9638478,0.369184945,0.239970214
S_SCH_H4,2,1.1603,3.7715,10/19/24 13:45,10/30/24 14:00,3.0368,1.8765,28.13648897,0.391526779,0.254492406
S_SCH_H5,1,1.1526,3.6191,10/30/24 16:00,11/4/24 9:45,2.5464,1.3938,43.4907764,0.769622614,0.500254699
S_SCH_H5,2,1.149,3.2511,10/30/24 16:00,11/4/24 9:55,2.3493,1.2003,42.89995719,0.751312172,0.488352912
S_SCH_H6,1,1.1481,2.7593,10/18/24 15:30,10/20/24 15:15,2.1122,0.9641,40.16261172,0.671195934,0.436277357
S_SCH_H6,2,1.1152,3.0596,10/18/24 15:30,10/20/24 15:15,2.5191,1.4039,27.79777823,0.384998932,0.250249306
S_SCH_H7,1,1.1244,6.5838,11/2/24 12:45,11/4/24 12:55,4.1285,3.0041,44.97380665,0.817316334,0.531255617
S_SCH_H7,2,1.137,4.1196,11/2/24 12:45,11/4/24 12:55,2.7346,1.5976,46.43599544,0.866925388,0.563501502
S_SCH_H8,1,1.1527,3.6678,10/30/24 16:00,11/4/24 10:00,2.5259,1.3732,45.40177329,0.831561317,0.540514856
S_SCH_H8,2,1.1498,4.0298,10/30/24 16:00,11/4/24 9:50,2.6887,1.5389,46.56597222,0.871466632,0.566453311
S_SCH_V1,1,1.1559,3.7617,10/19/24 13:45,10/30/24 14:00,2.9918,1.8359,29.54562898,0.419358353,0.272582929
S_SCH_V1,2,1.1294,4.417,10/19/24 13:45,10/30/24 14:00,3.3377,2.2083,32.82941964,0.488747,0.31768555
