Site,Plant,Rep,Element,Concentration_mg-kg
UP,MISC,1,B,56
UP,MISC,2,B,58
UP,MISC,3,B,56
UP,POPRC,1,B,5.5
UP,POPRC,2,B,5.4
UP,POPRC,3,B,5.5
UP,SORU,1,Mn,205
UP,SORU,2,Mn,194
UP,SORU,3,Mn,196
UP,MISC,1,Mn,121
UP,MISC,2,Mn,123
UP,MISC,3,Mn,117
UP,POPRC,1,Mn,64
UP,POPRC,2,Mn,65
UP,POPRC,3,Mn,64
UP,SORU,1,Zn,32
UP,SORU,2,Zn,28
UP,SORU,3,Zn,31
UP,MISC,1,Zn,29
UP,MISC,2,Zn,29
UP,MISC,3,Zn,28
UP,POPRC,1,Zn,18
UP,POPRC,2,Zn,18
UP,POPRC,3,Zn,18
UP,SORU,1,P,1423
UP,SORU,2,P,1430
UP,SORU,3,P,1417
UP,MISC,1,P,2052
UP,MISC,2,P,2047
UP,MISC,3,P,1954
UP,POPRC,1,P,2189
UP,POPRC,2,P,2154
UP,POPRC,3,P,2156
UP,SORU,1,S,901
UP,SORU,2,S,954
UP,SORU,3,S,885
UP,MISC,1,S,2103
UP,MISC,2,S,2083
UP,MISC,3,S,2102
UP,POPRC,1,S,2386
UP,POPRC,2,S,2331
UP,POPRC,3,S,2283
YF,SORU,1,Al,119
YF,SORU,2,Al,129
YF,SORU,3,Al,141
YF,SORU,1,Fe,130
YF,SORU,2,Fe,115
YF,SORU,3,Fe,142
YF,SORU,1,Ca,12386
YF,SORU,2,Ca,12363
YF,SORU,3,Ca,11936
YF,SORU,1,K,20070
YF,SORU,2,K,19239
YF,SORU,3,K,18000
YF,SORU,1,Mg,2349
YF,SORU,2,Mg,2372
YF,SORU,3,Mg,2296
YF,SORU,1,Na,184
YF,SORU,2,Na,228
YF,SORU,3,Na,246
YF,SORU,1,B,69
YF,SORU,2,B,69
YF,SORU,3,B,67
YF,SORU,1,Mn,433
YF,SORU,2,Mn,451
YF,SORU,3,Mn,423
YF,SORU,1,Zn,75
YF,SORU,2,Zn,76
YF,SORU,3,Zn,72
YF,SORU,1,P,4904
YF,SORU,2,P,4949
YF,SORU,3,P,4771
YF,SORU,1,S,1192
YF,SORU,2,S,1256
YF,SORU,3,S,1121
YF,MISC,1,Al,141
YF,MISC,2,Al,142
YF,MISC,3,Al,156
YF,MISC,1,Fe,104
YF,MISC,2,Fe,126
YF,MISC,3,Fe,147
YF,MISC,1,Ca,40337
YF,MISC,2,Ca,37435
YF,MISC,3,Ca,39315
YF,MISC,1,K,21012
YF,MISC,2,K,20554
YF,MISC,3,K,23665
YF,MISC,1,Mg,3769
YF,MISC,2,Mg,3507
YF,MISC,3,Mg,3749
YF,MISC,1,Na,120
YF,MISC,2,Na,112
YF,MISC,3,Na,113
YF,MISC,1,B,42
YF,MISC,2,B,39
YF,MISC,3,B,41
YF,MISC,1,Mn,129
YF,MISC,2,Mn,121
YF,MISC,3,Mn,129
YF,MISC,1,Zn,46
YF,MISC,2,Zn,42
YF,MISC,3,Zn,45
YF,MISC,1,P,3706
YF,MISC,2,P,3287
YF,MISC,3,P,3653
YF,MISC,1,S,4047
YF,MISC,2,S,3886
YF,MISC,3,S,3899
YF,POPRC,1,Al,118
YF,POPRC,2,Al,104
YF,POPRC,3,Al,98
YF,POPRC,1,Fe,104
YF,POPRC,2,Fe,97
YF,POPRC,3,Fe,93
YF,POPRC,1,Ca,7651
YF,POPRC,2,Ca,7255
YF,POPRC,3,Ca,7327
YF,POPRC,1,K,13016
YF,POPRC,2,K,12359
YF,POPRC,3,K,12237
YF,POPRC,1,Mg,2100
YF,POPRC,2,Mg,2012
YF,POPRC,3,Mg,1991
YF,POPRC,1,Na,121
YF,POPRC,2,Na,120
YF,POPRC,3,Na,105
YF,POPRC,1,B,8.1
YF,POPRC,2,B,7.6
YF,POPRC,3,B,7.3
YF,POPRC,1,Mn,274
YF,POPRC,2,Mn,259
YF,POPRC,3,Mn,255
YF,POPRC,1,Zn,15
YF,POPRC,2,Zn,15
YF,POPRC,3,Zn,14
YF,POPRC,1,P,2144
YF,POPRC,2,P,2010
YF,POPRC,3,P,1971
YF,POPRC,1,S,2075
YF,POPRC,2,S,1942
YF,POPRC,3,S,1892
