Sample ID,Day,N-NH4 (mg per mL),blank-corrected N-NH4 (mg per mL),N-NO3 (mg per mL),blank-corrected N-NO3 (mg per mL)
FNH_H3,30,2.1223176,2.003485746,8.967987067,9.011484767
FNH_H4,30,1.1508776,1.032045746,3.5920634,3.6355611
FNH_H5,30,0.9323036,0.813471746,5.317902667,5.361400367
FNH_H6,30,1.0780196,0.959187746,10.01982993,10.06332763
FNH_H7,30,0.50487,0.386038146,9.875402133,9.918899833
FNH_H8,30,1.2237356,1.104903746,9.087614133,9.131111833
FNH_V1,30,4.505583733,4.386751879,6.098396333,6.141894033
FNH_V2,30,2.2364618,2.117629946,8.142268533,8.185766233
FNH_V3,30,1.3840232,1.265191346,8.607647,8.6511447
FNH_V4,30,1.0703644,0.951532546,11.7187885,11.7622862
FNH_V5,30,2.7063552,2.587523346,5.1665505,5.2100482
FNH_V6,30,0.5721092,0.453277346,10.4578255,10.5013232
FNH_V7,30,1.2353916,1.116559746,12.82623,12.8697277
FNH_V8,30,1.418667,1.299835146,10.8841085,10.9276062
FNN_H1,30,0.494356,0.375524146,0.046683,0.0901807
FNN_H2,30,2.3477384,2.228906546,0.180828,0.2243257
FNN_H3,30,0.8378982,0.719066346,0.03774,0.0812377
FNN_H4,30,1.0243472,0.905515346,0.0720215,0.1155192
FNN_H5,30,0.5705224,0.451690546,0.0511545,0.0946522
FNN_H6,30,0.8069556,0.688123746,0.85676975,0.90026745
FNN_H7,30,0.5276788,0.408846946,0.0064395,0.0499372
FNS_H1,30,0.3261552,0.207323346,1.43359325,1.47709095
FNS_H2,30,0.5237118,0.404879946,4.434715,4.4782127
FNS_H3,30,0.3896272,0.270795346,5.5332135,5.5767112
FNS_H4,30,0.4451652,0.326333346,3.433099,3.4765967
FNS_H5,30,0.4007348,0.281902946,3.3630455,3.4065432
FNS_H6,30,0.446752,0.327920146,7.89491075,7.93840845
FNS_H7,30,0.2904522,0.171620346,3.161828,3.2053257
FNS_H8,30,0.6903258,0.571493946,2.11773275,2.16123045
SCH_H1,30,0.863673,0.744841146,3.946954,3.9904517
SCH_H2,30,0.471897733,0.353065879,0.96207,1.0055677
SCH_H3,30,0.7357628,0.616930946,4.801976,4.8454737
SCH_H4,30,0.656925067,0.538093213,5.613770667,5.657268367
SCH_H5,30,1.2063758,1.087543946,3.110981333,3.154479033
SCH_H6,30,1.2570572,1.138225346,8.268954667,8.312452367
SCH_H7,30,1.2763644,1.157532546,1.507906667,1.551404367
SCH_H8,30,0.6899082,0.571076346,2.224454667,2.267952367
SCH_V1,30,0.7864442,0.667612346,5.892184,5.9356817
SCH_V2,30,2.6833766,2.564544746,5.287001333,5.330499033
SCH_V3,30,0.899874,0.781042146,5.546365333,5.589863033
SCH_V4,30,0.821036267,0.702204413,2.420809333,2.464307033
SCH_V5,30,1.5925198,1.473687946,4.252476,4.2959737
SCH_V6,30,0.4389146,0.320082746,2.043486,2.0869837
SCH_V7,30,0.541081867,0.422250013,1.619272,1.6627697
SCH_V8,30,1.557927733,1.439095879,0.00594,0.0494377
SCN_H1,30,2.1838028,2.064970946,1.031673333,1.075171033
SCN_H2,30,0.814600533,0.695768679,0.016197333,0.059695033
SCN_H3,30,0.489596,0.370764146,-0.014574667,0.028923033
SCN_H4,30,1.0736388,0.954806946,0.162730667,0.206228367
SCN_H5,30,1.1315604,1.012728546,0.01693,0.0604277
SCN_H6,30,0.500858533,0.382026679,-0.029228,0.0142697
SCN_H7,30,1.3922076,1.273375746,0.126097333,0.169595033
SCN_H8,30,0.809773733,0.690941879,0.165661333,0.209159033
SCS_H1,30,0.4333651,0.314533246,4.458174,4.5016717
SCS_H2,30,0.3901282,0.271296346,2.634144667,2.677642367
SCS_H3,30,0.6975906,0.578758746,2.88229,2.9257877
SCS_H4,30,0.40694255,0.288110696,2.983804,3.0273017
SCS_H5,30,1.032276233,0.913444379,4.756270667,4.799768367
SCS_H6,30,0.4862102,0.367378346,4.749825333,4.793323033
SCS_H7,30,0.407743233,0.288911379,5.860034,5.9035317
SCS_H8,30,0.71440495,0.595573096,4.521016,4.5645137
UPH_H1,30,0.921781933,0.802950079,0.046343333,0.089841033
UPH_H2,30,1.1539801,1.035148246,0.207476667,0.250974367
UPH_H3,30,1.19961905,1.080787196,0.014116667,0.057614367
UPH_H4,30,0.848119067,0.729287213,-0.001996667,0.041501033
UPH_H5,30,0.502223867,0.383392013,-0.010859,0.0326387
UPH_H6,30,0.551866233,0.433034379,-0.008442,0.0350557
UPH_H8,30,0.814490367,0.695658513,-0.005219333,0.038278367
UPH_V1,30,1.011458467,0.892626613,-0.022944,0.0205537
UPH_V2,30,1.371765967,1.252934113,0.067290667,0.110788367
UPH_V3,30,0.4669938,0.348161946,-0.026166667,0.017331033
UPH_V4,30,0.6492756,0.530443746,0.01673,0.0602277
UPH_V5,30,0.6023565,0.483524646,0.3939432,0.4374409
UPH_V6,30,0.70752,0.588688146,0.0276864,0.0711841
UPH_V7,30,1.5860397,1.467207846,0.1059464,0.1494441
UPH_V8,30,1.17751995,1.058688096,-0.0255304,0.0179673
