Sample_ID,Site,Population,Treatment_PopType,Year,CO2CperHourperg,Overall_mineralization_rate,SORU_Biomass,POPRC_Biomass,MISC_Biomass,PercentN_SOIL,PercentN_LITTER,PercentN_POPRC,PercentN_MISC,PercentN_SORU,PercentC_SOIL,PercentC_LITTER,PercentC_POPRC,PercentC_MISC,PercentC_SORU,PlantDiversity,average_SOM
SCH_V1,SC,SC,Vegetation,2023,2.492828603265404,22.855270692220536,21.04013714717673,44.212233384005394,22.472239728517756,0.3,0.8,1.6,1.7,2.6,4.8,45.7,45.6,46.3,47.4,1.473993533963997,NA
SCH_V3,SC,SC,Vegetation,2021,1.7370320993179378,21.420362121920427,-0.4921402877697929,58.97668028276267,27.105081344766024,0.2,1.2,3.1,3.2,3,3.5,43.7,44,44.3,46,1.180918034878235,8.552242831000001
SCH_V3,SC,SC,Vegetation,2023,2.6681877648930703,21.51999428596717,27.803504272350526,50.0345672240593,10.468240213307478,0.3,1.2,1.9,2.1,2.6,4.3,43.5,44.6,44.9,46.1,1.1906638540986976,NA
SCH_V4,SC,SC,Vegetation,2021,1.8435021551339341,12.57628049718411,21.75505395683453,32.88333963131653,39.64272831853957,0.3,1.2,3.3,3.1,2.9,4,46,45.4,42.1,45.7,1.603717515017429,9.236002578
SCH_V4,SC,SC,Vegetation,2023,3.4959309839482042,8.01463992411538,73.79440072353233,27.392157846071875,12.068773482002182,0.4,1.6,2.4,2.4,2.3,5.6,44.9,45.3,45.2,46.4,1.2604127707229777,NA
SCH_V5,SC,SC,Vegetation,2021,1.744937800006114,6.391515610605718,35.659550359712235,28.806255154528074,36.299355792199954,0.3,1.1,2.6,1.8,3,4.5,45.4,44.9,45.7,45.6,1.8331216406166242,8.9788625585
SCH_V5,SC,SC,Vegetation,2023,2.4379025176159406,14.121007196089224,46.74093222283715,36.449121597266846,16.87037328808629,0.3,1.3,1.5,2.4,2.6,5,46.2,45.1,42.6,47.6,1.2185722731959228,NA
SCH_V6,SC,SC,Vegetation,2021,1.8807437396167872,23.195729427085375,20.36460431654676,60.60751407347806,12.059904976237771,0.3,1.2,2.6,2.7,3,4.1,45.2,39.6,46.6,48.9,0.9101133700716308,9.0892225755
SCH_V6,SC,SC,Vegetation,2023,2.532820404067193,3.9352738456809884,14.276770022002935,51.328419188515724,17.670639922433644,0.3,1.1,1.7,2.2,2.3,4.3,46.6,43.7,44.1,47.5,1.161565255717097,NA
SCH_V7,SC,SC,Vegetation,2021,1.9972039366896692,10.921013278359286,34.269100719424465,39.406674794178066,26.26923821318112,0.2,1.4,3,2.6,2.5,3.6,46.2,45.5,55,48.4,1.1581812251658845,8.2178861885
SCH_V7,SC,SC,Vegetation,2023,2.1081889098082804,6.621466591238306,44.035585372767635,42.91838141954897,10.468240213307478,0.3,1.1,1.5,2,2.4,3.7,48.1,44.3,44.6,48.4,1.0481472140317885,NA
SCH_V8,SC,SC,Vegetation,2021,1.8335916085714836,-0.15591175687137815,5.069658273381288,62.23834786419344,19.582493160501897,0.2,0.8,2.8,1.8,3.5,4,46.8,43.1,45.6,47.3,1.060674309702614,8.460249037499999
SCH_V8,SC,SC,Vegetation,2023,2.9336258468527143,5.728936096360519,41.33023852269812,29.979861774984723,27.273839534601866,0.4,1.2,1.9,1.7,2.1,5.6,47.4,43.1,45.8,45.8,1.2810505416521223,NA
