Sample_ID,Site.x,Year,Population,Treatment,Transplant,SORU_Biomass,POPRC_Biomass,MISC_Biomass,CO2CperHourperg,Site.y,Overall_mineralization_rate,PlantDiversity,Site,PercentN_SOIL,PercentN_LITTER,PercentN_POPRC,PercentN_MISC,PercentN_SORU,PercentC_SOIL,PercentC_LITTER,PercentC_POPRC,PercentC_MISC,PercentC_SORU,average_SOM,Treatment_PopType
YFH_V6,YF,2021,YF,Vegetation,Home,15.193879133143,89.4718793427323,9.681348909927914,1.6486110021262863,YF,23.86747031036842,0.7713175808876835,Southern Common Garden,0.1,1.5,2.8,2.4,2.4,1,44.9,39.6,43.7,47.3,5.1967882595,Vegetation
YFH_V6,YF,2023,YF,Vegetation,Home,75.20526315789473,17.44461267240486,65.22859328888403,2.9549261233659987,YF,19.815042729433454,1.1262320584554015,Southern Common Garden,0.2,1,1.3,1.9,2.1,2.5,30.7,44.2,46.6,47.2,NA,Vegetation
YFH_V7,YF,2021,YF,Vegetation,Home,26.53606898520633,63.29646592620003,27.51979983979464,2.860747854283172,YF,5.4622682101398565,1.4186314416408188,Southern Common Garden,0.1,1.1,1.8,2.1,3,1.4,45.3,44.5,44.8,48.4,4.450432585,Vegetation
YFH_V7,YF,2023,YF,Vegetation,Home,15.993233082706773,40.98621946341536,68.50463802965716,3.0299752380935283,YF,8.129069893295997,1.4973359802532253,Southern Common Garden,0.2,0.7,1.5,1.6,2.3,2.6,47.3,42.6,45.3,46.5,NA,Vegetation
YFH_V8,YF,2021,YF,Vegetation,Home,10.657003192317667,78.09126481380522,26.330569777803525,1.7029955606072487,YF,23.07516211701577,1.1349455460027458,Southern Common Garden,0.1,0.9,2.8,2.6,2.9,2,44.5,45,40,41.8,6.0737127345,Vegetation
YFH_V8,YF,2023,YF,Vegetation,Home,-4.360902255639089,59.81950489622376,48.848369585018396,2.6829770981300367,YF,25.438352360662694,0.7801973743557585,Southern Common Garden,0.2,0.9,3,2.6,0,3,45.7,44.5,44.9,0,NA,Vegetation
YFN_H1,UP,2021,YF,Herbivore,North,9.361916558230307,44.81967211019383,48.58545598187171,1.9520012874790882,UP,-0.5013414942348409,1.0324852670419034,Northern Common Garden,0.2,1.3,2.4,2.2,1.4,2.8,46.2,39.6,45.3,44.5,6.536577972,Resistor
YFN_H1,UP,2023,YF,Herbivore,North,14.520199778024427,91.86293045239702,8.421725354003698,2.29741715462622,UP,-0.9413803678604038,0.7067647297246494,Northern Common Garden,0.2,1.7,1.5,1.6,2.1,3.1,43.3,42.8,44.7,43.6,NA,Resistor
YFN_H2,UP,2021,YF,Herbivore,North,13.932555465191921,69.37089174598877,16.141835627630208,2.1017016595638305,UP,0.398873943604519,0.854051576154245,Northern Common Garden,0.2,0.6,2.8,2,1.7,2.6,47.8,42.1,43.5,45.6,6.2974344175,Resistor
YFN_H2,UP,2023,YF,Herbivore,North,21.988568257491682,94.75493961767083,-8.111025581353704,2.5723459745187807,UP,2.3698454851358086,0.5730042105570212,Northern Common Garden,0.2,1.2,1.5,1.7,2.6,3.2,44.1,42.8,45.1,50.9,NA,Resistor
YFN_H3,UP,2021,YF,Herbivore,North,24.216493005855554,31.274171621479375,51.627045390081854,2.4389393683501743,UP,-2.3135523429240177,1.504324692060047,Northern Common Garden,0.2,0.9,1.8,1.5,2.2,2.3,44.2,44.5,44.7,46.9,6.9666014595,Resistor
YFN_H3,UP,2023,YF,Herbivore,North,16.01387347391788,40.77076853255997,115.88460643382682,2.5824166234110155,UP,3.358584276695263,1.132925697309554,Northern Common Garden,0.2,1.2,1.8,1.6,2.3,2.9,43.9,42.8,45.6,45.3,NA,Resistor
YFN_H4,UP,2021,YF,Herbivore,North,7.0765971047495,30.42757784093472,68.86271870327265,1.7232129926469324,UP,-2.835723098222668,1.4481552714160582,Northern Common Garden,0.2,1.6,1.8,3.3,0,3,45.7,40.3,44,0,6.7139474295,Resistor
YFN_H4,UP,2023,YF,Herbivore,North,16.01387347391788,44.62678075292503,107.61823096614812,2.924085503609534,UP,6.193635438597559,1.7491470314617679,Northern Common Garden,0.2,1.2,1.1,1.9,3.6,2.9,45,43.5,45.9,84,NA,Resistor
YFN_H5,UP,2021,YF,Herbivore,North,8.219256831489904,49.05264101291709,45.543866573661575,2.6496779228397167,UP,-2.482342853683188,1.3553159150606913,Northern Common Garden,0.2,0.6,2.3,2.7,0,2.8,45.6,44.1,46.5,0,6.8932688175,Resistor
YFN_H5,UP,2023,YF,Herbivore,North,20.494894561598233,62.94283879965907,60.08657202699558,2.195330800306239,UP,-1.147651172974197,1.5225107184017923,Northern Common Garden,0.3,0.8,1.3,2.3,2.9,3.6,44.4,43.8,46.4,47.4,NA,Resistor
YFN_H6,UP,2021,YF,Herbivore,North,45.92702781392322,22.80823381603284,44.530003437591525,1.8110874346825372,UP,-5.1215598233027935,1.2424021916470207,Northern Common Garden,0.2,0.6,1.9,2.8,2.2,2.7,46.6,39.6,45.2,46.8,5.9185268345,Resistor
YFN_H6,UP,2023,YF,Herbivore,North,50.36836847946726,25.346719651099725,99.3518554984694,2.3534769149416213,UP,3.5280075854919226,1.0476028666054944,Northern Common Garden,0.2,1.3,2.1,2,2.5,3,45,42.6,44.3,45,NA,Resistor
YFN_H7,UP,2021,YF,Herbivore,North,26.50181245933636,54.132203696185016,23.238877580120537,1.851301720165183,UP,-2.712918608954644,1.193629451872915,Northern Common Garden,0.2,0.6,2.1,1.6,2.2,2.7,40.5,41.4,44.4,46.4,7.0113147965,Resistor
YFN_H7,UP,2023,YF,Herbivore,North,84.72286348501665,33.05874409182985,35.28744562395948,3.0068229739483385,UP,10.155830131651395,1.3830277195844793,Northern Common Garden,0.2,1,1.6,1,2.2,3.1,43.7,41.3,45.8,44.6,NA,Resistor
YFN_H8,UP,2021,YF,Herbivore,North,28.787131912817166,65.98451662381015,7.017067402999786,2.2251483293487735,UP,-0.38575263731425424,0.8389805680932069,Northern Common Garden,0.2,0.9,3.6,2.3,2,3.5,44.1,44.8,46.1,46.8,6.5911304825000006,Resistor
YFN_H8,UP,2023,YF,Herbivore,North,75.76082130965594,61.01483268947654,-10.17761944827338,2.6468718507884965,UP,-4.558107495650878,0.7511114222142301,Northern Common Garden,0.2,1,1.5,1.6,2.5,3.7,43.2,42.6,43.3,46.3,NA,Resistor
